STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2010,359.1692457745017,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2010,13.06005763010958,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2010,21.279382101542318,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2010,5.1893569425945065,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2018,222.0,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2018,53.61,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2019,176.1946327688949,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Eastern & Southern Africa,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2019,279.1790894813734,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2019,17.870003442880332,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2019,9.934118151615708,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2019,1.9637145972073182,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2019,1.9697442121531843,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (excluding high income),"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TEA,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2019,1.986429174326316,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (IDA & IBRD),"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2011,44.65,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.","Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2011,181.12,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2011,67.45,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SH_MLR_INCD_P3,_T,_T,_T,10P3PS_RK,_Z,_Z,_Z,2012,186.50238243030137,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Eastern & Southern Africa,"Incidence of malaria (per 1,000 population at risk)",Total,All age ranges or no breakdown by age,Total,Per 1 000 persons at risk,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
